Id,age,gender,ind-debateclub,ind-degree,ind-entrepeneur_exp,ind-exact_study,ind-international_exp,ind-languages,ind-previous_exp,ind-programming_exp,ind-testresult,ind-university_grade,nationality,sport,decision
x8011e,24,female,False,phd,False,True,False,1,4,False,36,70,German,Swimming,True
x6077a,26,male,False,bachelor,False,True,False,2,4,True,26,67,German,Golf,False
x6006e,23,female,False,master,False,True,True,0,4,True,38,67,Dutch,Running,False
x2173b,24,male,False,master,False,True,False,1,4,True,40,70,Dutch,Cricket,True
x6241a,26,female,False,master,False,False,False,1,4,False,22,59,German,Golf,True
x9063d,26,female,False,bachelor,False,True,False,1,4,False,26,63,Dutch,Chess,True
x5785d,27,female,True,bachelor,False,True,False,2,4,True,34,63,Dutch,Tennis,False
x8767c,22,female,False,master,False,True,False,1,4,True,48,71,Dutch,Swimming,True
x6541b,28,female,True,bachelor,True,False,False,3,4,False,35,65,Dutch,Football,False
x3890b,24,male,True,master,True,False,False,3,4,False,46,55,Dutch,Football,True
x9775f,27,female,False,bachelor,False,True,False,1,4,False,33,61,Dutch,Football,False
x3562f,28,male,False,bachelor,True,False,False,2,4,False,33,56,Dutch,Football,True
x4044c,27,female,False,bachelor,False,True,False,1,4,True,35,62,German,Football,False
x9428d,26,male,False,bachelor,False,False,False,1,4,False,31,56,Dutch,Football,False
x4375d,25,female,False,bachelor,False,False,False,1,4,True,29,63,Dutch,Swimming,False
x3407e,27,female,True,bachelor,True,True,False,2,4,True,36,66,Dutch,Football,True
x9859f,28,male,False,phd,False,False,True,1,4,True,27,63,Dutch,Cricket,False
x6048a,27,male,True,bachelor,True,False,False,2,4,False,28,60,Belgian,Football,True
x7516e,31,male,False,phd,False,True,True,1,4,True,23,71,Dutch,Swimming,True
x8071e,24,female,False,bachelor,False,True,False,1,4,False,31,63,Belgian,Running,True
x6618f,27,female,False,master,False,True,False,1,4,True,45,68,Dutch,Running,False
x6055a,28,female,False,master,False,True,True,0,4,False,23,65,Dutch,Running,False
x4063e,26,male,False,bachelor,False,False,False,2,4,True,34,62,Dutch,Tennis,False
x7466e,24,male,False,master,False,True,False,1,4,True,28,74,Dutch,Running,True
x9170e,24,male,False,master,False,True,False,2,4,True,33,72,Belgian,Tennis,True
x3887a,24,male,False,master,False,True,False,2,4,True,39,68,Dutch,Football,False
x2399e,21,male,False,bachelor,False,False,False,2,4,False,30,61,Dutch,Running,False
x2460f,29,male,True,master,True,False,False,3,4,False,23,58,Dutch,Rugby,True
x4499e,30,male,False,master,False,False,True,0,4,False,14,56,Dutch,Cricket,False
x2883f,26,male,False,bachelor,False,True,False,1,4,False,35,65,Dutch,Football,False
x9082b,22,female,False,bachelor,False,True,False,1,4,True,30,69,Belgian,Swimming,True
x7785e,31,female,False,bachelor,False,False,False,1,4,False,31,61,Belgian,Golf,True
x8533d,29,male,True,bachelor,False,False,False,2,4,False,30,61,Dutch,Football,True
